Serial Number,Tender ID,Title,E-Published Date,Organisation,Closing Date,Link
11,2025_DLA_19984_1,"[Formation of roads in KPK nagar at Sandaipudukuppam village, Mannadipet Constituency]",26-Sep-2025 02:05 PM,Department of Local Administration||Mannadipet Commune Panchayat-DLA,07-Oct-2025 03:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SvpNi%2BuE9SX5XzHLR6xemNg%3D%3D
12,2025_PWDC2_20049_1,"[Desilting three numbers of Irrigation channel in the Jurisdiction of Nettapakkam Section, Irrigation Sub-Division-III, Irrigation Division, PWD., Nettapakkam Commune, Puducherry-(II Call).]",29-Sep-2025 01:00 PM,Public Works Department||CIRCLE II||IRRIGATION,09-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1RFE%2FVfKmAaUG2TWOcWx6Q%3D%3D
13,2025_DLA_19892_1,[Providing CC road to the Kamban  street at Thamizhthai Nagar in  Uppalam Constituency],26-Sep-2025 10:00 AM,Department of Local Administration||Puducherry Municipality-DLA,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sxv6mtdrb8rUIQedUIbasvA%3D%3D
14,2025_PWDC2_20001_1,"[Conversion of the existing conventional classroom / Lab into Smart classroom cum e-Learning Centre at Motilal Nehru Government Polytechnic College, Lawspet, Puducherry]",26-Sep-2025 11:20 AM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S99gbupTjzOIklaBbKfXtug%3D%3D
15,2025_PWDC2_19999_1,"[Providing and fixing Aluminium partition to the Office of the Chief Educational Officer, Deputy Director Elem. Edn, Officer OSD (Plan), Grant in Aid, MACP Cell and SAO in Directorate of School Education at PKCE Complex, Anna Nagar, Puducherry]",26-Sep-2025 11:00 AM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sz%2BjKy9j4bFhYmx0PXzG2wA%3D%3D
16,2025_PWDC2_20055_1,[Resurfacing Vayalalam  Pandokkadu Road from Vayalalam side State Border to Pandokkadu side State Border],29-Sep-2025 01:00 PM,Public Works Department||CIRCLE II||PWD MAHE,09-Oct-2025 09:00 AM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMi3%2BRFsOjd6ZvBYkvd%2F7DQ%3D%3D
17,2025_DLA_19947_1,[selection of Independent Monitoring Team for ISWM Projects of Puducherry],24-Sep-2025 11:30 AM,Department of Local Administration||Puducherry Urban Development Agency-PUDA - DLA,16-Oct-2025 03:30 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=Sr5qDa98zotMjdqjILeURvQ%3D%3D
18,2025_DoFFW_19731_1,"[Supply of machineries and equipment to restore the existing Ice plant at  Pattinacherry, Karaikal on Turnkey basis ]",04-Sep-2025 03:30 PM,Department of Fisheries and Fishermen Welfare||The Pondicherry State Fisherman Co-operative Federation Ltd,06-Oct-2025 12:00 PM,https://pudutenders.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveCorrigendums&service=direct&session=T&sp=STWURFzajYQTPGJKd%2BLGbWA%3D%3D
19,2025_PWDC2_19993_1,"[Construction of Compound wall at West 205m, South 165m and East 50m sides to the Kamban Government Higher Secondary School at Nettapakkam, Nettapakkam Commune, Puducherry.]",26-Sep-2025 04:30 PM,Public Works Department||CIRCLE II||Special Buildings Division-II,07-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SCc6sQr8fR%2BPD8iFsHw4Okw%3D%3D
20,2025_DLA_19899_1,"[Providing Cement Concrete  pavement to internal streets of  Tsunami Quarters(left out portion) in  Kurusukuppam, Rajbhavan  Constituency, Puducherry]",26-Sep-2025 10:00 AM,Department of Local Administration||Puducherry Municipality-DLA,06-Oct-2025 04:00 PM,https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScIkvXjLUWbYevVbHO3kgwQ%3D%3D
