Serial Number,Title,Organisation,Closing Date,Link
48,[Servicing and Tuning job of ABB make DAVR UN6800 Stage1 (2X800MW) at NTPC Lara],NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=ShpapVI%2F%2FkrQz%2FJtiSw%2FPTg%3D%3D
49,[Biennial contract for Deployment of OEM Service Engineer of INDCON PROJECTS and EQUIPMENT LTD for Schedule maintenance Servicing of Indcon Make Instrument Air compressor air dryers in Stage-I  at NTPC Barh. ],NTPC Limited||Corporate Centre||USSC||CPG-3,12-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SuDmmd66aK6ou65DfXIpfBg%3D%3D
50,[Purchase of gate access control system for NTPC Rihand],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SA7Ablk1zIyTyOiwnpu%2FikQ%3D%3D
51,[BMC OF STAGE 2 SG TG BOP AMARA RAJA BATTERY CHARGER AT NTPC RIHAND],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 03:30 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SI9sMn63MhV9%2B%2FD4waiGxuw%3D%3D
52,[PROCUREMENT OF UNITED ELECTRIC CONTROLS SWITCHES USED IN TG VACUUM PUMPS],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SSh%2FlfeOuJZNiLyGkYgyJ4Q%3D%3D
53,[Procurement of H2 Side Seal oil pump motor complete assembly for NTPC],NTPC Limited||Corporate Centre||USSC||CPG-3,11-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S42PIYcPLW8jIvmV4Plof5A%3D%3D
54,[Procurement of ST 1 TAC VFD Motor under Capital Budget for NTPC Mouda.],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SzzdcKlsk9pfvnwfBSaJsyw%3D%3D
55,[DEPLOYMENT OF SERVICE ENGINEER FOR SERVICING AND TROUBLE SHOOTING OF CMSOF GENERATING TRANSFORMER AT NTPC LARA],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 04:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SeYmLpIwdQ0zl7mdx3NeQ3Q%3D%3D
56,[Governer Two year Maintenance Contract for Tuning and calibration ofEHGC Components of all units during Overhauling 2025],NTPC Limited||Corporate Centre||USSC||CPG-3,15-Sep-2025 03:00 PM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SP%2BHl0NItFvPZeDofX2W7GA%3D%3D
57,[Procurement of Various Size of Gear Coupling used at CHP Bongaigaon],NTPC Limited||Corporate Centre||USSC||CPG-3,24-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=SaEQ8abbqsv%2Fgq7jmWKe9IA%3D%3D
58,[Deployment of Hospital Staffs at hospital of NTPC Anta],NTPC Limited||Corporate Centre||USSC||CPG-1,16-Sep-2025 11:00 AM,https://eprocurentpc.nic.in/nicgep/app?component=%24DirectLink&page=FrontEndLatestActiveTenders&service=direct&session=T&sp=S4wgs8831NbI8yH6otIk1%2BQ%3D%3D
