S.No,TenderID,PageNo,Title,Organisation Chain,Tender Stage,Link
3,2025_PWD_268116_1,1,"RMO E and M Services in  District Court Saket , New Delhi. (SH Comprehensive maintenance of Addressable Fire Alarm System Edward Make)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=S%2FXGQ5YUJj%2FfFWNWSLST2jw%3D%3D
4,2024_PWD_265956_1,1,"RMO of Various Electrical and Mechanical Services (Internal and External) at Prison Complex, Mandoli, Delhi. (SH  Repairing  and servicing of solar water heating system)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SCflKxr8sDeI%2F%2Bhl5Xr7kcQ%3D%3D
5,2024_PWD_265916_1,1,"RMO E and M Services installed at Karkardooma Court Complex, Delhi. (SH Operation of lifts in Lawyer Chamber Block D,E,F,G and Parking Area H Block)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmsyzjwjFb9FQfLSj7iLhVA%3D%3D
6,2024_PWD_265825_1,1,"RMO specialized Electrical and Mechanical Services of Delhi High Court, New Delhi.(SH Annual Comprehensive maintenance of Pegasus Make Online UPS installed at  Delhi High Court, New Delhi.)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SFLMiCCt9IvcQ3KN8xChs3Q%3D%3D
7,2024_PWD_265667_1,1,"1. Up gradation of Duplex 1 and Servant Quarter G 1 (Type II) at Karkardooma Court Complex, Delhi. (SH  Electrical Works), 2. Up gradation of Type IV Judges Flat No. 505 at Karkardooma Court Complex, Delhi. (SH Electrical Works).",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SX6H8I%2Ffs2sy4cASNUtLgMw%3D%3D
8,2024_PWD_265632_1,1,"RMO Centralized clock system installed in New Block 1 and 2  at District Court Saket, New Delhi. (SH Comprehensive, routine maintenance and operation of Conic Make centralized clock System)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SVKlZpSiR2o8UsNbHU0Z%2BAw%3D%3D
9,2024_PWD_264824_1,1,RMO Specialized Electrical and Mechanic al services of Tis Hazari Court Delhi. (SH  Laying and fixing of various types of cables in surface or ground including replacement of old and outlived panel etc.),Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SzPRKJOM7P2AP01gv6L9N0Q%3D%3D
10,2024_PWD_257702_1,1,Providing Solar Panel on roof top at District Court Karkardooma Delhi.,Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SXmcKQu9nLNpyUWgdeXhVWg%3D%3D
1,2025_PWD_268256_1,1,"RMO Specialized Electrical and Mechanical services of Tis Hazari Court, Delhi. (SH Providing services for Annual Comprehensive Maintenance of various capacity / type Air purifiers installed at Tis Hazari Cour, Delhi)",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=Sxn6BuRQjKy5aeyUbdbM10w%3D%3D
2,2024_PWD_265802_2,1,"Running Maintenance and Operation of Specialized Electrical and Mechanical Services at Tis Hazari Court, Delhi. (SH Routine Operation and Comprehensive of VRV/VRF unit at Tis Hazari Court).",Public Works Department||CE/SE/B1-B14||EE/B142,AOC,https://govtprocurement.delhi.gov.in/nicgep/app?component=view&page=WebTenderStatusLists&service=direct&session=T&sp=SmLrL%2BpH9eqkCLDSuZgMxDw%3D%3D
