S.No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
4489,09-Sep-2025 12:15 PM,02-Oct-2025 06:00 PM,03-Oct-2025 12:00 PM,[Construction work of covered RCC drain in ward no. 4 (from canal culvert on Nagra-Ghosi main road to Vijay Singh house on the right side.],[237/NP NAGRA CMNSY W4][2025_DOLBU_1072558_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh12wQsf1trt80oXb%2FjvIXg%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Nagra Ballia
4490,09-Sep-2025 12:10 PM,27-Sep-2025 05:00 PM,29-Sep-2025 03:00 PM,"[ETENDER FOR FOOD COURT AT IDGAH BUS STATION, AGRA REGION]",[3967/FOODCOURT/IDG/AGRA/2025][2025_UPSRT_1072489_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S3v1ubcEgC42FF7CUKZWuHA%3D%3D,U.P. State Road Transport Corporation||Chief General Manager(Operations)
4491,09-Sep-2025 12:00 PM,18-Sep-2025 10:00 AM,19-Sep-2025 03:00 PM,[07/SE/EWC/AYO/2025-26],[07/SE/EWC/AYO/2025-26][2025_MVVNL_1072522_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SNimtl7LUysFjEnhawfij8w%3D%3D,Madhyanchal Vidyut Vitran Nigam Ltd||C E - FAIZABAD ZONE||S E - Faizabad
4492,09-Sep-2025 12:00 PM,20-Sep-2025 05:00 PM,22-Sep-2025 02:00 PM,[Work],[ET.ST-03/ETD-I/W/2025-26][2025_UPTCL_1072362_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=ScAgGaEnKan7XnGRPPOpANA%3D%3D,UP Power Transmission Corp.Ltd (Operation)||Chief Engineer (TW) West  Meerut||SE ETC NOIDA||EE ETD-I NOIDA
4493,09-Sep-2025 12:00 PM,02-Oct-2025 06:00 PM,03-Oct-2025 12:00 PM,[civil works],[237/NP NAGRA CMNSY W2][2025_DOLBU_1072547_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S4X2KESYIk9ZtaMa7%2F5RyZA%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Nagra Ballia
4494,09-Sep-2025 12:00 PM,30-Sep-2025 12:00 PM,30-Sep-2025 02:00 PM,[B.U.A.Main Road Se Kastoorba Gandhi Avaseey Balika Vidyalay Ki Building Tak C.C.Road and Nali Nirman Karya.],[164/n.p.g.m./15vavittayog][2025_DOLBU_1071024_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SB8ywRA%2FVvo3j6DZ4HaX3SQ%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao
4495,09-Sep-2025 12:00 PM,02-Oct-2025 06:00 PM,03-Oct-2025 12:00 PM,[Construction work of covered RCC drain on the right side from Bhola Rajbhar house to Roshan Shah in ward number 9/12 (on Nagra Belthara road)],[237/NP NAGRA CMNSY W3][2025_DOLBU_1072554_1],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlEEayttt%2F2rDLYXEkmckOw%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Nagra Ballia
4496,09-Sep-2025 12:00 PM,30-Sep-2025 12:00 PM,30-Sep-2025 02:00 PM,[Ward No 07 Me Shareef Ke Ghar Se Akeel Ke Ghar Tak Pipe Line Ka Karya.],[164/n.p.g.m./15vavittayog][2025_DOLBU_1071024_4],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SL6TRDRIlsOYlQ2uqHHc9EQ%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao
4497,09-Sep-2025 12:00 PM,30-Sep-2025 12:00 PM,30-Sep-2025 02:00 PM,[Ward No 07 Me Afsar Ke Ghar Se Rahul Ke Ghar Tak Interlocking Road and Nali Nirman Karya.],[164/n.p.g.m./15vavittayog][2025_DOLBU_1071024_3],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SslK3WfYLAmq1PilDZrxGHQ%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao
4498,09-Sep-2025 12:00 PM,30-Sep-2025 12:00 PM,30-Sep-2025 02:00 PM,[Uttar Madhymic School Composite Ma Tilykaran Ka Karya.],[164/n.p.g.m./15vavittayog][2025_DOLBU_1071024_5],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SWoRO5yb0xQCaBPsfo%2BB2Pw%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao
4499,09-Sep-2025 12:00 PM,30-Sep-2025 12:00 PM,30-Sep-2025 02:00 PM,[Nagar Panchayat Ganjmuradabad Unnao Me Ribour Karya.],[164/n.p.g.m./15vavittayog][2025_DOLBU_1071024_6],https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFm6OdSYeEdyrx6JVOXrpog%3D%3D,Directorate of Local Bodies UP||Nagar Panchayat Ganjmooradabad Unnao
